job_title,category,salary
Account Examiner,Accounting and Finance,50620
Account Executive,Accounting and Finance,91580
Accountant,Accounting and Finance,72700
Accounting Analyst,Accounting and Finance,91660
Accounting Assistant,Accounting and Finance,56880
Accounting Associate,Accounting and Finance,55020
Accounting Clerk,Accounting and Finance,45600
Accounting Coordinator,Accounting and Finance,62460
Accounting Head,Accounting and Finance,142300
Accounting Manager,Accounting and Finance,159100
Accounting Officer,Accounting and Finance,53320
Accounting Specialist,Accounting and Finance,98140
Accounting Supervisor,Accounting and Finance,99280
Accounting Technician,Accounting and Finance,52380
Accounting Unit Controller,Accounting and Finance,125100
Accounts Executive,Accounting and Finance,91520
Accounts Officer,Accounting and Finance,61400
Accounts Payable and Receivable Specialist,Accounting and Finance,74620
Accounts Payable Assistant,Accounting and Finance,57080
Accounts Payable Associate,Accounting and Finance,66120
Accounts Payable Clerk,Accounting and Finance,54180
Accounts Payable Manager,Accounting and Finance,138200
Accounts Receivable Administrator,Accounting and Finance,106440
Accounts Receivable Clerk,Accounting and Finance,55840
Accounts Receivable Financial Analyst,Accounting and Finance,99920
Accounts Receivable Manager,Accounting and Finance,142300
Accounts Receivable Team Leader,Accounting and Finance,105800
Assistant Accountant,Accounting and Finance,57320
Assistant Accounting Manager,Accounting and Finance,142300
Assistant Auditor,Accounting and Finance,68320
Assistant Corporate Controller,Accounting and Finance,94380
Assistant Finance Manager,Accounting and Finance,159100
Assistant Financial Controller,Accounting and Finance,97300
Audit Director,Accounting and Finance,172200
Audit Supervisor,Accounting and Finance,138200
Auditing Clerk,Accounting and Finance,61400
Auditing Manager,Accounting and Finance,154700
Billing Clerk,Accounting and Finance,54560
Billing Coordinator,Accounting and Finance,65940
Billing Specialist,Accounting and Finance,77340
Billing Supervisor,Accounting and Finance,113740
Bookkeeper,Accounting and Finance,47400
Bookkeeping Specialist,Accounting and Finance,70880
Budget Analyst,Accounting and Finance,119900
Budget Manager,Accounting and Finance,157600
Business Support Analyst,Accounting and Finance,78620
Capital Markets Associate,Accounting and Finance,115560
Cash Flow Analyst,Accounting and Finance,111240
Cash Management Manager,Accounting and Finance,138800
Cash Management Officer,Accounting and Finance,88260
Cashbook Clerk,Accounting and Finance,51400
Chartered Accountant,Accounting and Finance,92680
Chief Accountant,Accounting and Finance,110380
Collections Clerk,Accounting and Finance,46720
Collections Representative,Accounting and Finance,64200
Collections Specialist,Accounting and Finance,72360
Corporate Controller,Accounting and Finance,112000
Corporate Treasurer,Accounting and Finance,134600
Cost Accountant,Accounting and Finance,75260
Cost Accounting Manager,Accounting and Finance,150000
Cost Accounting Supervisor,Accounting and Finance,125100
Cost Analyst,Accounting and Finance,116180
Credit and Collection Manager,Accounting and Finance,152100
Credit and Collection Staff,Accounting and Finance,57800
Credit and Loans Officer,Accounting and Finance,52460
Credit Controller,Accounting and Finance,100140
Credit Manager,Accounting and Finance,158700
Debt Adviser,Accounting and Finance,117440
Debt Collector,Accounting and Finance,62100
Debtors Clerk,Accounting and Finance,53120
Debtors Controller,Accounting and Finance,53320
Deputy CFO,Accounting and Finance,194600
Deputy Head of Finance,Accounting and Finance,204700
Derivative Trader,Accounting and Finance,125100
Director of Finance,Accounting and Finance,217900
Economist,Accounting and Finance,172400
Equity Analyst,Accounting and Finance,124400
Escrow Assistant,Accounting and Finance,66580
Executive Accountant,Accounting and Finance,83900
External Auditor,Accounting and Finance,103200
Finance Administrator,Accounting and Finance,85700
Finance Analyst,Accounting and Finance,137400
Finance Associate,Accounting and Finance,61580
Finance Director,Accounting and Finance,207800
Finance Executive,Accounting and Finance,152300
Finance Licensing Clerk,Accounting and Finance,57360
Finance Licensing Manager,Accounting and Finance,143200
Finance Licensing Specialist,Accounting and Finance,78160
Finance Manager,Accounting and Finance,209700
Finance Officer,Accounting and Finance,70700
Finance President,Accounting and Finance,212500
Finance Relationship Manager,Accounting and Finance,176800
Finance Release Analyst,Accounting and Finance,82720
Finance Specialist,Accounting and Finance,119700
Finance Team Leader ,Accounting and Finance,158700
Financial Accountant,Accounting and Finance,75040
Financial Actuary,Accounting and Finance,106980
Financial Administrator,Accounting and Finance,125700
Financial Advisor,Accounting and Finance,129000
Financial Analyst,Accounting and Finance,138200
Financial Applications Specialist,Accounting and Finance,88480
Financial Assistant,Accounting and Finance,62060
Financial Associate,Accounting and Finance,60400
Financial Associate,Accounting and Finance,72420
Financial Claims Analyst,Accounting and Finance,96680
Financial Claims Manager,Accounting and Finance,137400
Financial Claims Supervisor,Accounting and Finance,125100
Financial Clerk,Accounting and Finance,54280
Financial Commercial Analyst,Accounting and Finance,107380
Financial Compliance Analyst,Accounting and Finance,125100
Financial Consultant,Accounting and Finance,97260
Financial Controller,Accounting and Finance,115520
Financial Controller,Accounting and Finance,119560
Financial Coordinator,Accounting and Finance,66580
Financial Customer Service Manager,Accounting and Finance,134600
Financial Dealer and Broker,Accounting and Finance,79360
Financial Director,Accounting and Finance,210500
Financial Encoder,Accounting and Finance,61620
Financial Manager,Accounting and Finance,196800
Financial Manager,Accounting and Finance,210500
Financial Operations Manager,Accounting and Finance,194600
Financial Policy Analyst,Accounting and Finance,118260
Financial Project Manager,Accounting and Finance,154700
Financial Quantitative Analyst,Accounting and Finance,119900
Financial Reporting Consultant,Accounting and Finance,111240
Financial Reporting Manager,Accounting and Finance,146200
Financial Section Head,Accounting and Finance,136200
Financial Services Manager,Accounting and Finance,187300
Financial Services Sales Agent,Accounting and Finance,83020
Fixed Assets Administrator,Accounting and Finance,77860
Forensic Accountant,Accounting and Finance,87760
Fraud Detection Supervisor,Accounting and Finance,88240
Fraud Prevention Manager,Accounting and Finance,154700
Fund Accountant,Accounting and Finance,71020
